Region,Island,Population,Susceptibles.inut,Measles.reporting.rate,Percentage.months.measles
Atlantic,Iceland,160000,4490,45,61
Atlantic,Greenland,28000,1190,111,24
Atlantic,Bermuda,41000,1130,10,51
Atlantic,Faroes,34000,744,24,32
Atlantic,St Helena,5000,116,54,4
Atlantic,Falkland,2500,43,NA,0
Pacific,Hawaii,550000,167000,24,100
Pacific,Fiji,345000,13400,8,64
Pacific,Samoa,118000,4440,9,28
Pacific,Solomons,110000,4060,6,32
Pacific,French Polynesia,75000,2690,27,8
Pacific,New Caledonia,68000,2600,9,32
Pacific,Guam,63000,2200,11,80
Pacific,Tonga,57000,2040,28,12
Pacific,New Hebrides,52000,1910,9,30
Pacific,Gilbert and Ellice,40000,1260,56,15
Pacific,Cooks,16000,670,51,6
Pacific,Niue,4700,225,21,5
Pacific,Nauru,3500,167,30,5
