treatment	heatshock.time
C	32.3
C	12.2
C	21.8
C	40
C	36
C	37
C	25.3
C	28.2
C	18.4
C	22.7
F	32.5
F	22.2
F	23.4
F	42.3
F	40
F	40
F	48.9
F	46.3
F	35
F	10.6
U	40
U	15.3
U	27.9
U	38.3
U	57
U	36.2
U	30
U	45.3
U	44
U	48.2
C	28
C	38.8
C	34
C	15.5
C	16.4
C	40.7
C	26.5
C	29
C	39.2
C	20.6
F	36.8
F	43.8
F	46.2
F	42.2
F	35
F	28.5
F	39
F	30.3
F	31.9
F	25.2
C	35.5
C	47.3
C	41.2
C	32.3
C	15
C	27.2
C	37.5
C	37.5
C	42.5
C	30
F	41.2
F	36.7
F	45.8
F	37.7
F	28.5
F	37.5
F	35.2
F	45.7
F	35.3
F	27.8
U	22.5
U	34.7
U	27.7
U	39
U	37
U	37
U	51
U	40.3
U	31.5
U	24.8
C	7.7
C	26.4
C	39.5
C	38.2
C	24.2
C	14.3
C	13.2
C	15.2
C	42
C	27.7
F	29
F	9.8
F	19.4
F	24
F	44.7
F	29.3
F	16.5
F	14.5
F	42.3
F	24.6
U	46
U	19.4
U	21.3
U	18.3
U	43
U	42
U	32.8
U	34.3
U	24.3
C	31.3
C	30.5
C	38.7
C	14.7
C	33.8
C	22.4
C	33.4
C	33.4
C	43.2
C	21.5
F	31
F	45.6
F	14.5
F	15.8
F	34.3
F	25.3
F	48.5
F	43.5
F	46
F	32.3
U	41.3
U	16.3
U	21.5
U	33.2
U	15.8
U	42
U	21.2
U	27.1
U	13.6
U	13.3
C	47.7
C	31.3
C	24.6
C	46.7
C	30.2
C	17.7
C	24.2
C	36.4
C	20.3
C	31.3
F	35.8
F	20.2
F	31.6
F	26.5
F	44.2
F	28.8
F	12.9
F	37.9
F	26.6
F	33
U	25.2
U	28
U	17.3
U	29.5
U	40
U	14
U	20.8
U	23.2
U	20.7
U	22.8
C	30.3
C	23
C	32.8
C	27.3
C	36.8
C	47.8
C	29.8
C	27.8
C	30.2
C	36.3
F	45.5
F	40.5
F	32
F	33.7
F	29.8
F	29.5
F	54.5
F	49.8
F	48.3
F	36.2
C	20.7
C	31.3
C	14.5
C	17.4
C	28.5
C	51.2
C	20.3
C	13.8
C	11.7
C	14.8
F	39.5
F	28.3
F	30.7
F	36.7
F	55.5
F	53.3
F	40.7
F	32.2
F	35.9
F	59
U	37
U	42.8
U	34.4
U	44.8
U	48.3
U	25.8
U	51
U	39.2
U	29.8
U	49.7
C	41.8
C	38.7
C	53
C	28.6
C	36
C	51.9
C	26.8
C	34.1
C	36.5
C	48.5
F	44.3
F	49.8
F	40.8
F	61.3
F	57.4
F	47.8
F	50.3
F	42.3
F	50.7
F	56.1
U	42
U	32.7
U	29.4
U	40.2
U	25.3
U	46.9
U	35.8
U	56.1
U	32.4
U	37.7
C	18.7
C	23.6
C	26.3
C	37.2
C	18.8
C	29.3
C	26.3
C	39.3
C	34.7
C	27.8
F	44.1
F	40.1
F	57
F	49.5
F	53.5
F	38.8
F	36.3
F	36.2
F	47.4
F	44
U	37.7
U	36.7
U	25.3
U	45.7
U	37.3
U	45
U	46.8
U	45.7
U	30.5
U	38.9
C	30.5
C	28.8
C	35.5
C	53.3
C	28
C	23.8
C	37.4
C	24.4
C	27.8
C	27
F	57.2
F	46.5
F	33
F	39.9
F	41.8
F	29
F	37.3
F	44.7
F	44.7
F	34.5
U	31.7
U	36.3
U	44.2
U	53.1
U	31.8
U	39
U	56.9
U	62
U	41.8
C	50.3
C	34.5
C	35.5
C	37.1
C	47.3
C	35.3
C	43.3
C	33.7
C	29.2
C	11.4
F	52.1
F	64.9
F	48
F	55
F	37.3
F	62.7
F	40.3
F	51.9
F	41
F	53.1
U	58.2
U	35.3
U	33.4
U	64.3
U	41.6
U	43.5
U	42.7
U	38.5
U	32.7
C	33.5
C	52.7
C	54
C	49.3
C	56.8
C	38.8
C	54.2
C	52.8
C	41.3
F	47
F	58.8
F	47.2
F	56
F	60.4
F	49.3
F	48.8
F	38
F	64.6
F	54.5
U	47.3
U	54.9
U	52
U	33.3
U	55.2
U	54
U	61.8
U	61.8
U	56.3
U	44.5
C	38.3
C	41.3
C	16
C	31.2
C	38.2
C	26.4
C	10.6
C	38.2
C	33.4
C	34
F	30.7
F	50.8
F	39.8
F	49.2
F	34
F	48.7
F	49.3
F	34.3
F	32.7
F	61.4
U	34
U	64.8
U	21.5
U	46.5
U	27.2
U	62.8
U	26.7
U	33.2
U	45
C	33.8
C	32.6
C	25.8
C	19.8
C	18.3
C	17.3
C	27.7
C	21.3
C	40.3
F	47.3
F	46
F	44.3
F	38
F	26.7
F	35.3
F	37.8
F	37.2
F	51.7
F	38.3
U	46.6
U	25.2
U	44.7
U	54.3
U	33.3
U	32
U	57.5
U	32.8
U	43.4
U	39.3
C	30.3
C	36.8
C	39.5
C	25.8
C	19.7
C	13.3
C	51.4
C	40.2
C	31.7
C	14
F	41.3
F	33.3
F	36.9
F	39
F	40.8
F	15.8
F	44.2
F	32.3
F	60.1
F	13.8
U	28
U	45.3
U	18.8
U	28.8
U	34.8
U	42
U	22.5
U	27
U	29.2
U	37.5
C	26
C	43.2
C	45.3
C	34
C	37.3
C	31
C	66.8
C	38.3
C	17.5
C	20.1
F	10.7
F	49.3
F	48.5
F	46.7
F	48.2
F	39.8
F	38.5
F	24
F	33.5
F	19.7
U	24
U	46
U	51.3
U	44.8
U	37.2
U	52.8
U	22.3
U	64
U	28.5
U	43.8
C	39.8
C	26.2
C	20.7
C	29.8
C	62.3
C	23.5
C	30.5
C	29.2
C	38.7
C	47.7
F	26.8
F	70.5
F	45
F	43.2
F	47.3
F	31.2
F	58.7
F	20.7
F	48.5
F	35
U	56.2
U	49.8
U	51.5
U	28.5
U	25.5
U	43.7
U	35
C	26.4
C	27.4
C	29.2
C	38
C	23
C	46.8
C	37
C	23.5
C	25.3
C	32.3
F	44.5
F	24.2
F	50.3
F	29.6
F	18.9
F	25.8
F	20.5
F	30.5
F	26.7
F	25.2
U	32.7
U	35.3
U	55.3
U	35.3
U	51.3
U	36.7
U	35.8
U	38.5
U	48
U	52.4
C	26.8
C	14
C	46.5
C	34.3
C	21.8
C	22.6
C	21.8
C	29
C	12.5
C	13.5
F	44.5
F	53.7
F	64
F	26.2
F	29
F	47.1
F	30.5
F	63.6
F	29.5
F	39
U	36.3
U	18.3
U	14.3
U	33.5
U	34
U	20.2
U	49.7
U	40.5
U	39.5
U	28.4
C	33.7
C	36
C	26.4
C	43.4
C	33.8
C	12
C	25.7
C	28.8
C	27.8
C	21.7
F	42.5
F	36.4
F	51.4
F	44.2
F	30.8
F	10.6
F	31.8
F	50.4
F	25.3
F	34.5
U	54.8
U	54.8
U	59.3
U	49.2
U	53.4
U	43.8
U	43
U	90
U	32.5
C	38
C	31.6
C	27.5
C	16.3
C	25
C	30.8
C	24.8
C	21.3
C	43.9
C	29.2
F	32.8
F	41.3
F	43
F	49
F	50.8
F	45.6
F	78.1
F	56.6
F	51.8
F	56.8
U	34.3
U	53.2
U	60.7
U	46.8
U	39.2
U	53
U	40
U	38.2
U	21.2
U	35.3
