Taxa	Mean.time.Ma	Femur	Humerus
Brachiosaurus.altithorax	151.15	2.03	2.13
Ampelosaurus.atacis	69.05	0.8033	0.65
Malawisaurus.dixeyi	113.4	0.95	0.705
Alamosaurus.sanjuanensis	69.05	1.61	1
Saltasaurus.loricatus	74.8	0.9	0.63
Europasaurus.holgeri	154.7	0.43	0.45
Neuquensaurus.australis	74.8	0.797	0.58
Magyarosaurus.dacus	69.05	0.525	0.385
Euhelopus.zdanskyi	121.9	0.95	0.91
Andesaurus.delgadoi.ˆ	103.45	1.55	1.35
Cedarosaurus.weiskopfae.ˆ	128.55	1.39	1.38
Opisthocoelicaudia.skarzynskii.ˆ	74.8	1.39	1
Chubutisaurus.insignis.ˆ	119.65	1.71	1.46
Diamantinasaurus.matildae.ˆ	103.45	1.33	1.12
Paluxysaurus.jonesi.ˆ	113.4	1.52	1.29
Phuwiangosaurus.sirindhornaeˆ_	121.9	1	0.866
Giraffatitan.brancai	151.15	1.55	1.6
Epachtosaurus.sciuttoi.ˆ	95.15	1.09	0.93
Bonatitan.reigi.ˆ	74.8	0.56	0.35
Tehuelchesaurus.benitezii.ˆ	160.4	1.5	1.08
Narambuenatitan.palomoi	95.15	NA	0.92
Muyelensaurus.pecheni	90.01	NA	0.69
Mendonzasaurus.neguyelap	90.01	NA	1.6
Angolatitan.adamastor	90.8	NA	1.1
Isisaurus.colberti	69.05	NA	1.48
Argyrosaurus.superbus	103.45	NA	1.37
Gondwanatitan.faustoi	74.8	NA	0.75
Elaltitan.lilloi	95.15	NA	1.3
Borealosaurus.wimani	122.7	NA	0.62
Panamericansaurus.schroederi	74.8	NA	1.23
Aeolosaurus.rionegrinus	77.85	NA	0.95
Ligabueisaurus.leanzai	110.08	NA	1.49
Traukutitan.eocaudata	90.1	1.64	NA
Dongbeititan.dongi	84.09	0.85	NA
Amargatitanis.macni	121.2	1.03	NA
Argentinosaurus.huinculensis	103.45	2.56	NA
Rocasaurus.muniozi	74.8	0.76	NA
Tastavinsaurus.sanzi	121.9	1.31	NA
Huabeisaurus.allocotus	86.3	1.56	NA
Camarasaurus.supremus	151.15	1.53	NA
Bonitasaura.salgadoi	84.95	1.18	NA
Aeolosaurus.maximus	74.8	1.55	NA
Rinconsaurus.caudamirus	89.08	0.99	NA
Lirainosaurus.astibiae	74.8	1	NA
Tangvayosaurus.hoffeti	112.7	1.6	NA
Daxiatitan.binglingi	122.7	1.77	NA
