Sex,Biparental,Log_2_fold_change
F,Y,-0.264
F,Y,-0.08
F,Y,0.107
F,Y,0.03
F,Y,-0.623
F,Y,-0.877
F,Y,-0.32
F,Y,-1.066
F,Y,0.043
F,Y,0.039
F,Y,-1.26
F,Y,-0.542
F,Y,1.997
F,Y,3.574
F,Y,0.524
F,Y,-1.117
F,Y,-0.63
F,Y,0.186
F,Y,-0.114
F,Y,-0.605
F,Y,0.015
F,Y,2.957
F,Y,1.197
F,Y,-0.152
F,Y,-1.235
F,Y,0.969
F,Y,-0.207
F,Y,1.56
F,Y,0.34
F,Y,1.448
F,Y,1.447
F,Y,1.349
F,Y,4.526
F,Y,-3.096
F,Y,-0.01
F,Y,0.942
F,Y,-0.401
F,Y,0.088
F,Y,-1.049
F,Y,0.346
F,Y,-0.2
F,Y,-0.084
F,Y,-0.016
F,Y,0.757
F,Y,-2.524
F,Y,-1.799
F,Y,0.147
F,Y,0.368
F,Y,-0.212
F,Y,-6.169
F,Y,-0.524
F,Y,-0.561
F,Y,0.253
F,Y,1.25
F,Y,-1.164
F,Y,1.215
F,Y,1.205
F,Y,2.13
F,Y,-0.014
F,Y,-0.072
F,Y,1.433
F,Y,-0.01
F,Y,0.127
F,Y,0.195
F,Y,-0.978
F,Y,0.986
F,Y,-0.112
F,Y,3.054
F,Y,-1.264
F,Y,2.793
F,Y,0.623
F,Y,0.614
F,Y,1.711
F,Y,-2.608
F,Y,3.324
F,Y,3.698
F,Y,2.354
F,Y,4.243
F,Y,0.371
F,Y,1.739
F,Y,-0.572
F,Y,1.348
F,Y,0
F,Y,2.252
F,Y,-1.853
F,Y,0.618
F,Y,1.683
F,Y,0.724
F,Y,1.121
F,Y,2.466
F,Y,0.159
F,Y,1.04
F,Y,0.644
F,Y,2.963
F,Y,0.108
F,Y,-0.58
F,Y,-1.546
F,Y,-0.027
F,Y,1.675
F,Y,0.94
F,Y,5.256
F,Y,0.073
F,Y,-10.458
F,Y,-2.949
F,Y,0.464
F,Y,0.828
F,Y,-0.676
F,Y,1.662
F,Y,-0.421
F,Y,1.674
F,Y,1.685
F,Y,1.16
F,Y,0.059
F,Y,-0.275
F,Y,-0.004
F,Y,-5.327
F,Y,-0.232
F,Y,1.429
F,Y,1.192
F,Y,-0.242
F,Y,-0.956
F,Y,1.44
F,Y,5.643
F,Y,0.604
F,Y,0.382
F,Y,0.757
F,Y,-1.193
F,Y,0.092
F,Y,-0.417
F,Y,-0.556
F,Y,0.239
F,Y,0.473
F,Y,6.266
F,Y,-0.99
F,Y,0.145
F,Y,0.361
F,Y,6.076
F,Y,-1.392
F,Y,-0.497
F,Y,-1.399
F,Y,-0.418
F,Y,0.049
F,Y,-0.331
F,Y,-3.156
F,Y,-0.15
F,Y,5.765
F,Y,0.034
F,Y,2.898
F,Y,1.064
F,Y,3.454
F,Y,-0.311
F,Y,2.493
F,Y,-0.883
F,Y,2.013
F,Y,-0.523
F,Y,-0.178
F,Y,-0.552
F,Y,-3.085
F,Y,0.615
F,Y,3.297
F,Y,-1.345
F,Y,1.783
F,Y,2.51
F,Y,0.992
F,Y,-0.033
F,Y,0.214
F,Y,0.322
F,Y,-0.637
F,Y,-0.329
F,Y,4.122
F,Y,0.208
F,Y,0.427
F,Y,2.333
F,Y,-1.312
F,Y,-0.34
F,Y,4.265
F,Y,3.833
F,Y,-0.45
F,Y,0.008
F,Y,0.191
F,Y,0.458
F,Y,-0.324
F,Y,1.191
F,Y,1.258
F,Y,-1.577
F,Y,1.345
F,Y,6.576
F,Y,1.191
F,Y,0.39
F,Y,-4.669
F,Y,1.859
F,Y,-2.411
F,Y,1.255
F,Y,-0.034
F,Y,-0.442
F,Y,-1.26
F,Y,8.528
F,Y,-0.918
F,Y,2.877
F,Y,-0.119
F,Y,0.632
F,Y,1.787
F,Y,5.212
F,Y,-0.606
F,Y,1.851
F,Y,-0.065
F,Y,0.067
F,Y,0.091
F,Y,1.588
F,Y,-2.263
F,Y,1.904
F,Y,2.192
F,Y,-0.693
F,Y,-1.543
F,Y,0.068
F,Y,0
F,Y,2.936
F,Y,0.368
F,Y,-0.341
F,Y,-0.013
F,Y,-3.29
F,Y,-0.646
F,Y,-0.081
F,Y,-0.457
F,Y,-0.578
F,Y,0.019
F,Y,0.374
F,Y,0
F,Y,5.016
F,Y,0
F,Y,0.635
F,Y,2.219
F,Y,-4.022
F,Y,-2.644
F,Y,1.036
F,Y,-7.745
F,Y,-0.894
F,Y,0.044
F,Y,0.383
F,Y,4.512
F,Y,0.083
F,Y,-1.169
F,Y,0.995
F,Y,-2.73
F,Y,0.938
F,Y,0.084
F,Y,1.255
F,Y,0.17
F,Y,-0.022
F,Y,-0.169
F,Y,-1.721
F,Y,2.487
F,Y,-0.884
F,Y,0.404
F,Y,0.414
F,Y,0.352
F,Y,0.092
F,Y,-0.05
F,Y,0.281
F,Y,0.034
F,Y,0.227
F,Y,-1.022
F,Y,2.194
F,Y,-1.547
F,Y,0.3
F,Y,-7.783
F,Y,-0.477
F,Y,1.424
F,Y,-0.456
F,Y,0.186
F,Y,1.131
F,Y,-4.54
F,Y,1.31
F,Y,1.394
F,Y,-0.133
F,Y,0.834
F,Y,-0.276
F,Y,2.482
F,Y,-0.293
F,Y,-0.178
F,Y,2.01
F,Y,0.626
F,Y,-0.15
F,Y,1.649
F,Y,-0.842
F,Y,2.823
F,Y,0.123
F,Y,3.955
F,Y,0.882
F,Y,0.01
F,Y,-0.554
F,Y,-2.521
F,Y,0.572
F,Y,0.609
F,Y,-3.066
F,Y,-5.514
F,Y,-2.324
F,Y,-0.18
F,Y,-1.491
F,Y,-1.041
F,Y,-3.103
F,Y,0.042
F,Y,3.137
F,Y,0.229
F,Y,0.548
F,Y,2.023
F,Y,0.381
F,Y,2.46
F,Y,-0.855
F,Y,0.589
F,Y,0.668
F,Y,-0.418
F,Y,2.271
F,Y,-0.103
F,Y,-1.245
F,Y,-4.73
F,Y,-2.555
F,Y,1.101
F,Y,-0.096
F,Y,2.77
F,Y,-0.453
F,Y,-0.378
F,Y,-1.218
F,Y,0.01
F,Y,4.01
F,Y,-0.023
F,Y,-0.311
F,Y,0.227
F,Y,4.516
F,Y,-0.249
F,Y,-2.953
F,Y,-0.158
F,Y,0.61
F,Y,1.704
F,Y,0.27
F,Y,-2.757
F,Y,1.425
F,Y,2.691
F,Y,3.396
F,Y,0.086
F,Y,1.411
F,Y,1.085
F,Y,0.267
F,Y,1.239
F,Y,-0.772
F,Y,-0.241
F,Y,-0.185
F,Y,1.171
F,Y,-0.072
F,Y,-3.615
F,Y,-1.107
F,Y,0.722
F,Y,1.513
F,Y,-0.157
F,Y,-0.188
F,Y,-0.786
F,Y,0.905
F,Y,-0.677
F,Y,-0.958
F,Y,1.534
F,Y,-2.095
F,Y,1.187
F,Y,-2.815
F,Y,3.762
F,Y,0.817
F,Y,0
F,Y,2.06
F,Y,1.19
F,Y,2.793
F,Y,1.072
F,Y,0.962
F,Y,-0.498
F,Y,3.224
F,Y,1.482
F,Y,-0.714
F,Y,-2.135
F,Y,0.138
F,Y,-0.114
F,Y,0.861
F,Y,0.867
F,Y,-1.892
F,Y,0.163
F,Y,-1.324
F,Y,1.598
F,Y,1.109
F,Y,-0.282
F,Y,-2.802
F,Y,0.689
F,Y,0.107
F,Y,-3.308
F,Y,-0.185
F,Y,1.499
F,Y,2.988
F,Y,-1.163
F,Y,-2.414
F,Y,1.11
F,Y,0.569
F,Y,0
F,Y,0.125
F,Y,-3.615
F,Y,1.434
F,Y,1.41
F,Y,-1.683
F,Y,2.102
F,Y,0.023
F,Y,3.3
F,Y,5.018
F,Y,0.16
F,Y,1.954
F,Y,-1.299
F,Y,-1.799
F,Y,1.169
F,Y,-0.678
F,Y,1.734
F,Y,-2.652
F,Y,2.639
F,Y,2.15
F,Y,1.392
F,Y,3.757
F,Y,-1.244
F,Y,-0.943
F,Y,-0.328
F,Y,3.119
F,Y,-6.663
F,Y,4.685
F,Y,-0.307
F,Y,0.646
F,Y,1.248
F,Y,0.847
F,Y,-0.831
F,Y,-3.902
F,Y,-1.536
F,Y,-0.383
F,Y,0.522
F,Y,1.262
F,Y,0.214
F,Y,1.256
F,Y,-1.862
F,Y,0.87
F,Y,-1.483
F,Y,-5.945
F,Y,4.778
F,Y,2.254
F,Y,1.178
F,Y,0.784
F,Y,6.277
F,Y,2.46
F,Y,1.455
F,Y,0.361
F,Y,3.399
F,Y,7.362
F,Y,-0.433
F,Y,7.5
F,Y,-0.578
F,Y,0.059
F,Y,1.29
F,Y,0.694
F,Y,-0.446
F,Y,2.456
F,Y,-0.239
F,Y,0.757
F,Y,0.251
F,Y,2.628
F,Y,1.311
F,Y,1.736
F,Y,-0.146
F,Y,0.196
F,Y,1.239
F,Y,-1.829
F,Y,-0.256
F,Y,1.074
F,Y,1.275
F,Y,1.209
F,Y,-2.075
F,Y,-4.27
F,Y,-2.17
F,Y,1.335
F,Y,1.613
F,Y,0.88
F,Y,0.784
F,Y,0.099
F,Y,-3.75
F,Y,-2.663
F,Y,-2.044
F,Y,-1.05
F,Y,0.477
F,Y,2.597
F,Y,1.07
F,Y,1.056
F,Y,0.558
F,Y,-5.351
F,Y,2.282
F,Y,1.906
F,Y,0.857
F,Y,8.315
F,Y,0.836
F,Y,1.287
F,Y,2.989
F,Y,-1.852
F,Y,1.426
F,Y,0.047
F,Y,-0.173
F,Y,0.649
F,Y,0.258
F,Y,-8.239
F,Y,1.156
F,Y,-0.9
F,Y,-0.863
F,Y,1.075
F,Y,-0.873
F,Y,1.712
F,Y,0.145
F,Y,0.629
F,Y,0.696
F,Y,3.362
F,Y,0.222
F,Y,5.458
F,Y,-2.805
F,Y,0.939
F,Y,2.633
F,Y,-4.75
F,Y,-1.746
F,Y,1.947
F,Y,2.36
F,Y,1.323
F,Y,3.609
F,Y,-0.285
F,Y,4.618
F,Y,1.626
F,Y,1.503
F,Y,-0.34
F,Y,-1.044
F,Y,1.385
F,Y,1.223
F,Y,1.728
F,Y,1.827
F,Y,-0.085
F,Y,-0.733
F,Y,3.24
F,Y,0.137
F,Y,2.842
F,Y,-0.568
F,Y,2.704
F,Y,-0.277
F,Y,6.1
F,Y,-1.367
F,Y,1.839
F,Y,8.088
F,Y,3.78
F,Y,1.346
F,Y,-0.917
F,Y,3.758
F,Y,1.577
F,Y,-0.143
F,Y,-1.403
F,Y,0.292
F,Y,0.032
F,Y,0.884
F,Y,1.814
F,Y,1.562
F,Y,-0.431
F,Y,6.005
F,Y,0.111
F,Y,-4.859
F,Y,0.483
F,Y,0.279
F,Y,9.649
F,Y,0
F,Y,0.586
F,Y,0.528
F,Y,1.077
F,Y,-1.823
F,Y,2.312
F,Y,2.192
F,Y,3.231
F,Y,0.772
F,Y,0.607
F,Y,-0.614
F,Y,-1.266
F,Y,0.704
F,Y,-0.428
F,Y,0.115
F,Y,0.841
F,Y,1.164
F,Y,0.337
F,Y,-0.078
F,Y,0.86
F,Y,-1.488
F,Y,0.834
F,Y,1.768
F,Y,1.417
F,Y,-1.608
F,Y,0.304
F,Y,5.89
F,Y,5.238
F,Y,2.232
F,Y,0.867
F,Y,0.173
F,Y,-0.128
F,Y,0.021
F,Y,1.448
F,Y,2.456
F,Y,2.074
F,Y,0.104
F,Y,-1.766
F,Y,-3.67
F,Y,-0.71
F,Y,3.435
F,Y,-1.243
F,Y,-0.433
F,Y,4.368
F,Y,1.716
F,Y,1.413
F,Y,0.719
F,Y,1.914
F,Y,0.396
F,Y,0.25
F,Y,4.548
F,Y,5.973
F,Y,-0.599
F,Y,1.457
F,Y,0.252
F,Y,1.907
F,Y,0.852
F,Y,-7.094
F,Y,0.88
F,Y,6.84
F,Y,7.024
F,Y,-5.978
F,Y,-1.257
F,Y,3.731
F,Y,-0.226
F,Y,-2.018
F,Y,1.318
F,Y,-4.213
F,Y,-2.734
F,Y,-0.792
F,Y,2.78
F,Y,2.072
F,Y,0.686
F,Y,1.145
F,Y,1.533
F,Y,0.336
F,Y,0.514
F,Y,1.169
F,Y,-1.476
F,Y,0.892
F,Y,-1.198
F,Y,4.149
F,Y,2.159
F,Y,-1.176
F,Y,-0.878
F,Y,-1.872
F,Y,-10.62
F,Y,0
F,Y,1.085
F,Y,-0.31
F,Y,1.174
F,Y,0.055
F,Y,-1.835
F,Y,6.456
F,Y,-0.783
F,Y,2.376
F,Y,-0.105
F,Y,5.268
F,Y,-0.684
F,Y,1.185
F,Y,3.324
F,Y,4.487
F,Y,0.401
F,Y,3.64
F,Y,-0.811
F,Y,0.99
F,Y,-3.037
F,Y,-1.872
F,Y,0.322
F,Y,-2.374
F,Y,2.428
F,Y,0.85
F,Y,-0.576
F,Y,-3.201
F,Y,0.656
F,Y,3.202
F,Y,1.963
F,Y,-0.837
F,Y,-0.143
F,Y,-3.992
F,Y,0.265
F,Y,-0.334
F,Y,10.961
F,Y,0.582
F,Y,-2.524
F,Y,-0.068
F,Y,0.804
F,Y,-1.905
F,Y,-1.389
F,Y,-0.542
F,Y,-5.841
F,Y,0.135
F,Y,0.299
F,Y,6.708
F,Y,-1.561
F,Y,-1.885
F,Y,2.918
F,Y,-0.448
F,Y,1.271
F,Y,2.104
F,Y,-0.989
F,Y,-0.718
F,Y,1.59
F,Y,2.291
F,Y,-3.176
F,Y,0.506
F,Y,0.735
F,Y,-1.278
F,Y,-1.274
F,Y,0.589
F,Y,-0.91
F,Y,-2.176
F,Y,-4.825
F,Y,-5.347
F,Y,6.826
F,Y,1.251
F,Y,-2.794
F,Y,1.067
F,Y,1.16
F,Y,-0.028
F,Y,-6.951
F,Y,-0.568
F,Y,1.423
F,Y,2.097
F,Y,0.415
F,Y,-0.501
F,Y,0.385
F,Y,-5.327
F,Y,0.984
F,Y,0.467
F,Y,-1.012
F,Y,0.29
F,Y,-1.563
F,Y,-1.087
F,Y,-0.129
F,Y,-0.737
F,Y,0.944
F,Y,1.208
F,Y,3.669
F,Y,-0.54
F,Y,2.338
F,Y,-1.839
F,Y,5.007
F,Y,-0.093
F,Y,-1.474
F,Y,-1.42
F,Y,-0.868
F,Y,-1.21
F,Y,0.505
F,Y,0.214
F,Y,1.732
F,Y,1.85
F,Y,-1.499
F,Y,-4.503
F,Y,1.833
F,Y,-6.783
F,Y,-2.981
F,Y,1.52
F,Y,-0.055
F,Y,5.951
F,Y,1.406
F,Y,5.176
F,Y,-1.332
F,Y,1.165
F,Y,2.931
F,Y,1.621
F,Y,-0.674
F,Y,1.957
F,Y,1.329
F,Y,-5.116
F,Y,-0.618
F,Y,1.576
F,Y,3.17
F,Y,-1.225
F,Y,0.581
F,Y,-0.722
F,Y,0.328
F,Y,-0.62
F,Y,0.914
F,Y,4.81
F,Y,0.273
F,Y,-0.075
F,Y,1.286
F,Y,0.968
F,Y,4.678
F,Y,-0.582
F,Y,-1.306
F,Y,-0.452
F,Y,-1.087
F,Y,-0.536
F,Y,1.171
F,Y,-0.837
F,Y,0.019
F,Y,1.977
F,Y,1.85
F,Y,-1.311
F,Y,4.764
F,Y,1.694
F,Y,2.423
F,Y,0.798
F,Y,0.672
F,Y,-0.33
F,Y,1.735
F,Y,1.329
F,Y,1.701
F,Y,1.227
F,Y,-2.385
F,Y,6.17
F,Y,4.41
F,Y,0.587
F,Y,2.782
F,Y,-1.514
F,Y,-0.921
F,Y,-0.11
F,Y,0.576
F,Y,-1.582
F,Y,3.45
F,Y,2.04
F,Y,-1.666
F,Y,1.634
F,Y,2.379
F,Y,2.591
F,Y,-0.07
F,Y,5.907
F,Y,4.855
F,Y,0.884
F,Y,1.553
F,Y,-2.73
F,Y,0.235
F,Y,1.531
F,Y,-0.435
F,Y,0.248
F,Y,3.492
F,Y,2.25
F,Y,2.738
F,Y,1.028
F,Y,1.603
F,Y,-0.031
F,Y,1.748
F,Y,-0.486
F,Y,-1.729
F,Y,2.176
F,Y,1.702
F,Y,1.419
F,Y,5.656
F,Y,1.004
F,Y,-0.498
F,Y,1.311
F,Y,-3.932
F,Y,6.515
F,Y,1.553
F,Y,1.544
F,Y,-0.204
F,Y,-2.596
F,Y,1.607
F,Y,-0.851
F,Y,-0.126
F,Y,2.961
F,Y,2.192
F,Y,2.192
F,N,-1.585
F,N,-1.549
F,N,-1.534
F,N,-1.136
F,N,-1.736
F,N,-1.814
F,N,-1.62
F,N,-1.832
F,N,-1.237
F,N,-1.529
F,N,-1.916
F,N,-1.675
F,N,-1.86
F,N,-1.493
F,N,3.166
F,N,-1.641
F,N,-0.83
F,N,-1.518
F,N,-1.259
F,N,-1.665
F,N,1.093
F,N,-0.679
F,N,0.402
F,N,-0.129
F,N,-2.686
F,N,-1.146
F,N,-1.409
F,N,-0.005
F,N,-1.371
F,N,-0.158
F,N,0.67
F,N,1.516
F,N,4.798
F,N,-2.922
F,N,-1.147
F,N,-2.084
F,N,-1.298
F,N,-1.202
F,N,-0.004
F,N,-1.326
F,N,-1.513
F,N,-1.353
F,N,1.631
F,N,1.148
F,N,-0.305
F,N,-0.905
F,N,-1.123
F,N,-1.228
F,N,-0.404
F,N,2.195
F,N,-1.334
F,N,-1.673
F,N,-1.893
F,N,1.894
F,N,-3.203
F,N,0.227
F,N,-0.659
F,N,0.351
F,N,-1.346
F,N,-1.727
F,N,0.475
F,N,-1.6
F,N,2.452
F,N,-1.104
F,N,-1.344
F,N,1.263
F,N,-1.788
F,N,5.251
F,N,-0.364
F,N,-0.402
F,N,-1.414
F,N,1.773
F,N,-0.188
F,N,-2.974
F,N,5.473
F,N,3.53
F,N,1.98
F,N,3.941
F,N,-1.424
F,N,0.984
F,N,-1.777
F,N,1.447
F,N,4
F,N,3.444
F,N,-0.17
F,N,0.461
F,N,0.827
F,N,1.012
F,N,3
F,N,-0.69
F,N,-1.537
F,N,1.255
F,N,2.293
F,N,3.515
F,N,-1.55
F,N,-1.51
F,N,-0.306
F,N,-1.373
F,N,-0.298
F,N,2.157
F,N,2.735
F,N,-1.17
F,N,-4.649
F,N,-2.918
F,N,1.421
F,N,-1.934
F,N,-1.447
F,N,1.857
