"Inbreeding" "Drythor" "FII"
"1" "None" "5.21" "24"
"2" "None" "4.31" "53"
"3" "None" "5.08" "64"
"4" "None" "4.92" "25"
"5" "None" "5.08" "42"
"6" "None" "5.16" "43"
"7" "None" "5.48" "50"
"8" "None" "5.8" "63"
"9" "None" "5.39" "24"
"10" "None" "4.74" "19"
"11" "None" "4.54" "31"
"12" "None" "5.79" "43"
"13" "None" "4.73" "38"
"14" "None" "5.25" "22"
"15" "None" "3.95" "27"
"16" "None" "5.86" "35"
"17" "None" "4.76" "34"
"18" "None" "5.49" "50"
"19" "None" "4.74" "50"
"20" "One" "5.27" "39"
"21" "One" "6.32" "56"
"22" "One" "6.21" "56"
"23" "Two" "5.77" "53"
"24" "Two" "5.72" "18"
"25" "Two" "5.39" "35"
"26" "None" "5.24" "42"
"27" "None" "4.14" "40"
"28" "None" "3.89" "62"
"29" "None" "5.99" "31"
"30" "None" "5.25" "41"
"31" "None" "4.97" "48"
"32" "None" "4.68" "42"
"33" "None" "5.57" "48"
"34" "None" "4.43" "35"
"35" "None" "4.47" "44"
"36" "None" "5.85" "35"
"37" "None" "5.13" "40"
"38" "None" "4.57" "27"
"39" "None" "5.73" "35"
"40" "None" "5.78" "27"
"41" "One" "5.4" "35"
"42" "One" "4.92" "41"
"43" "One" "6.09" "57"
"44" "One" "5.6" "67"
"45" "One" "4.74" "35"
"46" "One" "5.56" "55"
"47" "One" "5.47" "37"
"48" "One" "5.26" "37"
"49" "None" "5.09" "69"
"50" "Two" "5.35" "66"
"51" "Two" "6.52" "52"
"52" "Two" "3.64" "68"
"53" "Two" "3.95" "52"
"54" "Two" "5.79" "41"
"55" "Two" "5.24" "57"
"56" "One" "5.04" "62"
"57" "One" "4.94" "54"
"58" "One" "4.44" "83"
"59" "One" "5.03" "29"
"60" "One" "5.26" "23"
"61" "One" "5.29" "84"
"62" "One" "5.27" "20"
"63" "One" "5.27" "43"
"64" "One" "4.63" "98"
"65" "One" "5.74" "23"
"66" "One" "6.3" "28"
"67" "One" "5.37" "24"
"68" "None" "5.79" "60"
"69" "None" "4.85" "72"
"70" "None" "3.93" "55"
"71" "None" "5.69" "46"
"72" "None" "5.78" "70"
"73" "None" "5.56" "43"
"74" "None" "5.61" "22"
"75" "None" "5.83" "68"
"76" "None" "5.68" "21"
"77" "None" "5.21" "28"
"78" "None" "5.62" "42"
"79" "None" "4.75" "54"
"80" "None" "5.47" "46"
"81" "Two" "6.01" "59"
"82" "None" "3.8" "28"
"83" "None" "3.92" "40"
"84" "One" "4.36" "62"
"85" "One" "5.69" "43"
"86" "None" "5.13" "57"
"87" "One" "5.4" "59"
"88" "One" "5.59" "60"
"89" "One" "4.22" "37"
"90" "One" "6.61" "51"
"91" "One" "4.95" "77"
"92" "One" "5.38" "54"
"93" "One" "4.04" "53"
"94" "One" "4.62" "45"
